esp32_t_ms,trial_id,phase,phase_elapsed_s,session_elapsed_s,prediction,true_label,open_bad_adc_total,fold_bad_adc_total,Thumb_raw_ADC,Index_raw_ADC,Middle_raw_ADC,Ring_raw_ADC,Little_raw_ADC,ReverseHorizontal_raw_ADC,ReverseThumb_raw_ADC,Thumb_R_ohm,Index_R_ohm,Middle_R_ohm,Ring_R_ohm,Little_R_ohm,ReverseHorizontal_R_ohm,ReverseThumb_R_ohm,Thumb_local_dR,Index_local_dR,Middle_local_dR,Ring_local_dR,Little_local_dR,ReverseHorizontal_local_dR,ReverseThumb_local_dR
1959500,1,open_ref,0.0212,0.0329,Middle,Middle,0,0,2789,2840,2772,2693,2771,2750,2571,7260.796325,7694.023904,7123.809524,6530.813124,7115.861027,6951.672862,5735.826772,-0.193564,-0.152771,-0.122780,-0.114124,-0.062347,-0.177258,-0.040658
1959550,1,open_ref,0.0636,0.0753,Middle,Middle,0,0,2800,2914,2780,2698,2777,2734,2559,7351.351351,8389.161727,7187.832700,6566.356478,7163.732929,6829.977957,5664.453125,-0.183507,-0.076226,-0.114897,-0.109302,-0.056039,-0.191661,-0.052595
1959600,1,open_ref,0.1270,0.1386,Middle,Middle,0,0,2797,2901,2765,2691,2769,2748,2565,7326.502311,8260.804020,7068.421053,6516.666667,7100.000000,6936.302895,5700.000000,-0.186267,-0.090360,-0.129601,-0.116042,-0.064437,-0.179077,-0.046650
1959650,1,open_ref,0.1896,0.2012,Middle,Middle,0,0,2791,2896,2780,2700,2766,2740,2562,7277.147239,8212.176814,7187.832700,6580.645161,7076.297968,6875.276753,5682.191781,-0.191748,-0.095715,-0.114897,-0.107364,-0.067560,-0.186300,-0.049629
1959700,1,open_ref,0.2108,0.2224,Middle,Middle,0,0,2801,2896,2776,2696,2771,2738,2559,7359.659969,8212.176814,7155.724033,6552.108649,7115.861027,6860.132646,5664.453125,-0.182584,-0.095715,-0.118850,-0.111235,-0.062347,-0.188092,-0.052595
1959750,1,open_ref,0.2731,0.2847,Middle,Middle,0,0,2800,2900,2768,2690,2773,2749,2572,7351.351351,8251.046025,7092.087415,6509.608541,7131.770045,6943.982169,5741.825345,-0.183507,-0.091435,-0.126687,-0.117000,-0.060251,-0.178168,-0.039655
1959800,1,open_ref,0.3147,0.3263,Middle,Middle,0,0,2787,2895,2779,2694,2777,2759,2569,7244.495413,8202.500000,7179.787234,6537.901499,7163.732929,7021.407186,5723.853211,-0.195375,-0.096780,-0.115887,-0.113162,-0.056039,-0.169005,-0.042660
1959850,1,open_ref,0.3568,0.3685,Middle,Middle,0,0,2800,2895,2772,2697,2771,2739,2559,7351.351351,8202.500000,7123.809524,6559.227468,7115.861027,6867.699115,5664.453125,-0.183507,-0.096780,-0.122780,-0.110269,-0.062347,-0.187196,-0.052595
1959900,1,open_ref,0.3981,0.4097,Middle,Middle,0,0,2800,2897,2774,2686,2765,2754,2570,7351.351351,8221.869783,7139.742619,6481.476224,7068.421053,6982.550336,5729.836066,-0.183507,-0.094647,-0.120818,-0.120816,-0.068598,-0.173604,-0.041660
1959950,1,open_ref,0.4603,0.4720,Middle,Middle,0,0,2795,2894,2778,2702,2773,2753,2560,7310.000000,8192.839301,7171.753986,6594.974874,7131.770045,6974.813711,5670.358306,-0.188099,-0.097844,-0.116876,-0.105420,-0.060251,-0.174519,-0.051608
