trial_id,prediction,true_label,correct,confidence,margin,status,open_bad_adc_total,fold_bad_adc_total,prob_Thumb,prob_Index,prob_Middle,prob_Ring,prob_Little
1,Middle,Middle,1,0.595714,0.422857,Accepted,0,0,0.002857,0.088571,0.595714,0.172857,0.140000
2,Thumb,Thumb,1,0.724286,0.602857,Accepted,0,0,0.724286,0.121429,0.025714,0.091429,0.037143
3,Uncertain,Index,0,0.327143,0.017143,Uncertain,0,0,0.022857,0.327143,0.310000,0.254286,0.085714
4,Uncertain,Little,0,0.434286,0.060000,Uncertain,0,0,0.004286,0.048571,0.138571,0.374286,0.434286
5,Uncertain,Ring,0,0.257143,0.007143,Uncertain,0,0,0.067143,0.257143,0.250000,0.198571,0.227143
6,Index,Index,1,0.734286,0.575714,Accepted,0,0,0.035714,0.734286,0.158571,0.051429,0.020000
7,Ring,Ring,1,0.538571,0.205714,Accepted,0,0,0.005714,0.028571,0.094286,0.538571,0.332857
8,Thumb,Thumb,1,0.784286,0.668571,Accepted,0,0,0.784286,0.115714,0.010000,0.070000,0.020000
9,Little,Little,1,0.631429,0.472857,Accepted,0,0,0.024286,0.052857,0.158571,0.132857,0.631429
10,Ring,Ring,1,0.447143,0.148571,Accepted,0,0,0.007143,0.151429,0.298571,0.447143,0.095714
