esp32_t_ms,trial_id,true_label,phase,label,phase_elapsed_s,session_elapsed_s,use_for_training,open_ref_bad_adc_total,fold_bad_adc_total,Thumb_raw_ADC,Index_raw_ADC,Middle_raw_ADC,Ring_raw_ADC,Little_raw_ADC,ReverseHorizontal_raw_ADC,ReverseThumb_raw_ADC,Thumb_R_ohm,Index_R_ohm,Middle_R_ohm,Ring_R_ohm,Little_R_ohm,ReverseHorizontal_R_ohm,ReverseThumb_R_ohm,Thumb_local_dR_over_open_ref,Index_local_dR_over_open_ref,Middle_local_dR_over_open_ref,Ring_local_dR_over_open_ref,Little_local_dR_over_open_ref,ReverseHorizontal_local_dR_over_open_ref,ReverseThumb_local_dR_over_open_ref
97100,1,Ring,open_ref,OpenReference,0.0407,0.0500,0,0,0,3033,2936,2832,2767,2871,2960,2736,9710.169492,8612.942192,7623.752969,7084.186747,7975.000000,8866.960352,6845.033113,-0.001271,0.015714,-0.019347,0.000000,-0.012769,-0.006084,0.011054
97150,1,Ring,open_ref,OpenReference,0.1030,0.1122,0,0,0,3031,2944,2842,2769,2870,2959,2735,9685.526316,8696.437880,7711.731844,7100.000000,7965.714286,8856.161972,6837.500000,-0.003806,0.025560,-0.008030,0.002232,-0.013919,-0.007295,0.009941
97200,1,Ring,open_ref,OpenReference,0.1445,0.1538,0,0,0,3023,2946,2843,2769,2864,2950,2729,9587.873134,8717.493473,7720.607029,7100.000000,7910.316816,8759.825328,6792.532943,-0.013850,0.028044,-0.006888,0.002232,-0.020777,-0.018093,0.003299
97250,1,Ring,open_ref,OpenReference,0.2075,0.2168,0,0,0,3020,2946,2830,2760,2871,2960,2732,9551.627907,8717.493473,7606.324111,7029.213483,7975.000000,8866.960352,6814.966985,-0.017578,0.028044,-0.021589,-0.007760,-0.012769,-0.006084,0.006613
97300,1,Ring,open_ref,OpenReference,0.2491,0.2584,0,0,0,3025,2954,2844,2768,2869,2959,2729,9612.149533,8802.453988,7729.496403,7092.087415,7956.443719,8856.161972,6792.532943,-0.011353,0.038063,-0.005745,0.001115,-0.015067,-0.007295,0.003299
97350,1,Ring,open_ref,OpenReference,0.3115,0.3208,0,0,0,3030,2946,2838,2769,2862,2945,2729,9673.239437,8717.493473,7676.372315,7100.000000,7891.970803,8706.956522,6792.532943,-0.005069,0.028044,-0.012578,0.002232,-0.023048,-0.024019,0.003299
97400,1,Ring,open_ref,OpenReference,0.3536,0.3629,0,0,0,3027,2945,2832,2765,2878,2960,2734,9636.516854,8706.956522,7623.752969,7068.421053,8040.427280,8866.960352,6829.977957,-0.008846,0.026801,-0.019347,-0.002225,-0.004670,-0.006084,0.008830
97450,1,Ring,open_ref,OpenReference,0.4169,0.4262,0,0,0,3028,2951,2839,2766,2869,2950,2732,9648.734770,8770.454545,7685.191083,7076.297968,7956.443719,8759.825328,6814.966985,-0.007590,0.034289,-0.011444,-0.001114,-0.015067,-0.018093,0.006613
97500,1,Ring,open_ref,OpenReference,0.4592,0.4685,0,0,0,3033,2950,2839,2765,2864,2940,2726,9710.169492,8759.825328,7685.191083,7068.421053,7910.316816,8654.545455,6770.197224,-0.001271,0.033036,-0.011444,-0.002225,-0.020777,-0.029894,0.000000
97550,1,Ring,open_ref,OpenReference,0.5009,0.5102,0,0,0,3020,2941,2822,2763,2876,2946,2730,9551.627907,8664.991334,7537.156324,7052.702703,8021.657096,8717.493473,6800.000000,-0.017578,0.021852,-0.030486,-0.004444,-0.006994,-0.022838,0.004402
97600,1,Ring,open_ref,OpenReference,0.5642,0.5735,0,0,0,3039,2948,2835,2769,2878,2958,2731,9784.659091,8738.622493,7650.000000,7100.000000,8040.427280,8845.382586,6807.478006,0.006391,0.030535,-0.015971,0.002232,-0.004670,-0.008503,0.005507
97650,1,Ring,open_ref,OpenReference,0.6064,0.6157,0,0,0,3029,2940,2833,2764,2868,2948,2727,9660.975610,8654.545455,7632.488114,7060.555973,7947.188264,8738.622493,6777.631579,-0.006331,0.020620,-0.018223,-0.003336,-0.016212,-0.020470,0.001098
97700,1,Ring,open_ref,OpenReference,0.6487,0.6579,0,0,0,3021,2932,2835,2766,2881,2959,2732,9563.687151,8571.625107,7650.000000,7076.297968,8068.698517,8856.161972,6814.966985,-0.016337,0.010841,-0.015971,-0.001114,-0.001170,-0.007295,0.006613
97750,1,Ring,open_ref,OpenReference,0.7126,0.7218,0,0,0,3034,2944,2846,2770,2882,2959,2733,9722.525919,8696.437880,7747.317854,7107.924528,8078.153339,8856.161972,6822.466960,0.000000,0.025560,-0.003452,0.003351,0.000000,-0.007295,0.007721
97800,1,Ring,open_ref,OpenReference,0.7540,0.7633,0,0,0,3030,2946,2851,2768,2871,2953,2725,9673.239437,8717.493473,7792.122186,7092.087415,7975.000000,8791.768827,6762.773723,-0.005069,0.028044,0.002311,0.001115,-0.012769,-0.014513,-0.001096
97850,1,Ring,open_ref,OpenReference,0.7961,0.8054,0,0,0,3024,2938,2835,2768,2881,2961,2730,9600.000000,8633.707865,7650.000000,7092.087415,8068.698517,8877.777778,6800.000000,-0.012602,0.018163,-0.015971,0.001115,-0.001170,-0.004872,0.004402
97900,1,Ring,open_ref,OpenReference,0.8595,0.8688,0,0,0,3031,2948,2854,2769,2879,2951,2728,9685.526316,8738.622493,7819.178082,7100.000000,8049.835526,8770.454545,6785.076811,-0.003806,0.030535,0.005791,0.002232,-0.003505,-0.016902,0.002198
97950,1,Ring,open_ref,OpenReference,0.9023,0.9115,0,0,0,3031,2947,2863,2764,2874,2959,2723,9685.526316,8728.048780,7901.136364,7060.555973,8002.948403,8856.161972,6747.959184,-0.003806,0.029288,0.016333,-0.003336,-0.009310,-0.007295,-0.003285
