trial_id,true_label,accepted,open_bad_adc_total,fold_bad_adc_total,n_open_samples,n_fold_samples,n_training_samples,open_ref_Thumb_R_ohm,open_ref_Index_R_ohm,open_ref_Middle_R_ohm,open_ref_Ring_R_ohm,open_ref_Little_R_ohm,open_ref_ReverseHorizontal_R_ohm,open_ref_ReverseThumb_R_ohm,fold_train_mean_Thumb_local_dR,fold_train_mean_Index_local_dR,fold_train_mean_Middle_local_dR,fold_train_mean_Ring_local_dR,fold_train_mean_Little_local_dR,fold_train_mean_ReverseHorizontal_local_dR,fold_train_mean_ReverseThumb_local_dR
1,Ring,1,0,0,79,100,60,9722.525919,8479.692833,7774.157303,7084.186747,8078.153339,8921.238938,6770.197224,0.231935,0.178445,0.043000,0.013603,0.019150,0.233767,0.021057
2,Ring,1,0,0,80,100,60,11232.689274,8759.825328,7783.132530,7305.883935,8173.566085,10385.162028,8059.259259,-0.005999,-0.023989,0.037586,-0.033052,0.016915,0.019670,-0.048753
3,Middle,1,0,0,81,100,60,10836.196319,8324.633658,7606.324111,7037.031484,7956.443719,9070.221937,8192.871449,-0.018460,0.074831,0.093568,0.049213,0.109616,0.294131,-0.045772
4,Little,1,0,0,80,100,60,9600.000000,9234.301270,8002.948403,7285.341520,8106.611570,9987.500000,7502.897416,0.021055,-0.051364,0.019327,0.106557,0.153829,0.440568,0.002097
5,Ring,1,0,0,80,100,60,9600.000000,8738.631720,7502.897416,7975.000000,8943.085106,10807.142857,7326.502311,-0.018544,0.020637,0.171360,0.069633,0.035791,0.014705,-0.000870
6,Middle,1,0,0,81,100,60,9205.706522,9025.705285,7910.316816,8221.869783,9188.607595,11118.248175,7212.042683,0.002490,0.084704,0.054135,0.011436,-0.017326,0.025325,-0.005036
7,Index,1,0,0,80,100,60,8813.157895,8706.956522,7846.365105,7937.947883,8369.230769,10621.148036,7084.186747,0.081235,0.489356,0.038972,-0.051361,0.027744,-0.090340,0.039076
8,Thumb,1,0,0,80,100,60,9309.267823,10894.661191,7837.295456,7367.981439,8494.918873,9315.068493,7195.890411,0.295900,-0.097068,0.004444,-0.024787,-0.001199,0.024438,0.091072
9,Middle,1,0,0,80,99,59,11225.000000,9455.966640,7680.781699,7084.186747,8419.185059,9606.097465,8087.623762,-0.097466,-0.032022,0.056468,0.073094,-0.019735,0.054759,-0.048470
10,Thumb,1,0,0,80,100,60,9600.000000,9115.058708,7663.172187,8154.364804,8270.578374,9309.267823,7490.107258,0.257374,0.125577,0.022418,-0.052507,-0.033763,0.082974,0.027143
11,Ring,1,0,0,80,100,60,10909.352518,9367.540511,7924.117367,7515.721003,8125.662252,9268.789809,8130.436760,-0.086438,-0.003155,0.103632,0.121831,0.109135,0.139547,-0.053835
12,Middle,1,0,0,80,100,60,10642.363632,9059.062897,8054.547393,8469.573844,8992.525819,11133.418758,7460.374415,-0.112891,0.081380,0.072881,0.042485,-0.031435,0.017772,0.013761
13,Index,1,0,0,80,100,60,8981.505338,8926.695643,8369.230769,7823.701944,8494.918873,10229.959213,7351.351351,0.090821,0.301707,-0.007079,-0.031712,-0.034102,0.009294,0.008878
14,Index,1,0,0,81,100,60,9600.000000,9385.123967,8097.109827,7537.156324,8163.953488,9444.095941,7334.772552,-0.059635,0.130804,0.033170,0.025725,0.009970,0.106469,-0.001360
15,Thumb,1,0,0,80,100,60,8770.454545,9432.258065,7928.722539,7882.820097,8369.230769,9872.640610,7343.055556,0.371671,0.036871,-0.041731,-0.052057,-0.041468,0.001970,-0.002185
16,Little,1,0,0,80,100,60,10850.767656,9373.394495,7435.019455,7351.351351,7937.947883,9020.160571,8021.657096,-0.102462,-0.012173,0.009841,0.060784,0.151995,0.417095,-0.029513
17,Index,1,0,0,80,99,60,9222.846782,8802.453988,7195.896548,8068.698517,8654.545455,10785.463595,7443.457944,0.143972,0.230384,0.083434,-0.066543,-0.035226,0.070010,0.045345
18,Thumb,1,0,0,80,99,59,9722.630833,9350.000000,7601.977221,7760.723236,8231.578947,10529.996356,7334.772552,0.157646,-0.009498,-0.051596,-0.046180,-0.012384,-0.022105,0.003787
19,Thumb,1,0,0,80,100,59,10550.915810,9245.776567,7473.137892,7273.056378,8078.153339,10713.565322,8073.425928,0.061306,-0.018221,-0.008716,-0.011081,-0.008153,0.033616,-0.087881
20,Middle,1,0,0,80,100,60,10467.529880,8781.102362,7252.639633,7338.914054,8265.691197,9497.640562,8012.295082,-0.065786,0.040774,0.145077,0.064663,0.012801,0.119465,-0.025432
21,Little,1,0,0,81,100,60,9961.804223,9257.272727,8551.072961,8349.367089,8823.880597,12585.074627,7891.970803,-0.047512,-0.074712,-0.092096,-0.088355,0.006903,-0.036759,-0.035993
22,Middle,1,0,0,81,100,60,9396.885811,8339.460371,7667.595541,8031.042188,8618.129127,11317.758985,7494.366197,0.007078,0.119906,0.069183,-0.006101,0.056892,-0.007563,-0.004746
23,Thumb,1,0,0,80,101,60,9222.846782,9251.524647,7914.914505,7783.161389,8561.340206,10843.481988,7268.965517,0.194304,0.032626,-0.030335,-0.041778,-0.040508,-0.053766,-0.004930
24,Little,1,0,0,80,100,60,10104.415513,9797.156398,8217.023298,7787.627358,8012.295082,10880.060087,7910.324279,-0.051373,-0.076630,-0.069789,-0.047394,0.091363,0.013575,-0.053389
25,Little,1,0,0,80,100,60,9897.994269,8566.482657,7359.666395,7716.169436,8888.614298,9968.221996,7252.639633,-0.087318,-0.009211,0.055045,-0.081663,-0.051203,0.103489,-0.005472
26,Little,1,0,0,80,100,59,8910.354451,8628.511964,7297.658129,7720.607029,8399.152542,10385.162028,7092.087415,-0.008528,-0.061006,0.077311,-0.062515,-0.006878,0.035084,-0.011789
27,Ring,1,0,0,80,100,60,9228.574026,9154.553652,7628.120542,8212.176814,8932.152347,11459.141791,7248.567523,-0.019237,0.032055,0.068157,0.122120,-0.005228,-0.126481,-0.020770
28,Middle,1,0,0,81,100,60,8856.161972,9103.819315,7823.716532,8545.948144,9228.594805,11579.025313,7100.000000,0.000278,0.365710,0.137559,-0.061087,-0.089378,0.444658,0.115775
29,Ring,1,0,0,81,100,60,8759.825328,10290.384615,8510.179641,8139.993694,8251.054184,12686.660481,7451.909587,0.005524,-0.007283,0.013392,0.032462,0.034942,0.006388,-0.006295
30,Index,1,0,0,80,100,60,8479.692833,10084.748925,7650.006960,8125.670150,8354.328815,11874.863089,7119.835275,0.083402,0.111827,0.008283,-0.037987,-0.011469,0.034259,0.063329
31,Index,1,0,0,81,100,60,8877.777778,10344.323791,7891.970803,7819.178082,8192.839301,11348.940678,7131.770045,0.047383,-0.018230,-0.015352,-0.016921,-0.006114,0.070925,0.015657
32,Thumb,1,0,0,80,100,60,9098.204668,10649.445005,8389.161727,7460.374415,8068.698517,10706.382979,6990.298507,0.374257,0.001488,-0.060392,-0.025428,-0.019583,0.025715,0.053555
33,Little,1,0,0,80,100,60,10412.513594,9648.746232,7195.896548,7460.374415,7654.388403,10157.013440,7970.357143,-0.032391,-0.024583,0.046689,0.097095,0.247589,0.213168,-0.039523
34,Middle,1,0,0,81,100,60,9636.516854,9600.000000,7571.631206,7956.443719,8571.625107,12001.548673,7359.659969,-0.024106,0.358284,0.200930,0.070489,0.000979,0.184177,0.037748
35,Little,1,0,0,80,99,59,9115.058708,10992.731141,8097.117666,8135.242939,8349.367089,12817.827283,7347.203453,-0.055965,0.038550,-0.097744,-0.050345,0.192770,-0.107724,-0.040537
36,Ring,1,0,0,80,100,60,8791.778175,10770.996036,7334.778933,8429.226848,8797.130128,11255.789474,7013.612565,-0.044762,-0.049808,0.060266,0.106490,0.089289,-0.199401,-0.006183
37,Ring,1,0,0,80,100,60,8494.918873,9917.076217,7733.948201,8260.804020,8759.825328,16059.128999,6886.665608,-0.029108,-0.073668,-0.011534,0.118536,-0.003779,-0.434028,-0.009087
38,Index,1,3,0,80,101,60,8260.804020,10756.587289,8231.578947,8525.483986,8597.417134,13476.363636,7048.781959,0.111844,0.212392,-0.021420,-0.007767,0.002596,0.080591,0.012783
39,Middle,1,0,0,80,99,60,9064.637422,11364.581124,7485.848319,8031.034483,8314.768586,12475.712657,6917.155918,-0.026822,0.033121,0.174588,0.115685,0.011049,0.264280,0.032461
40,Index,1,0,0,80,100,60,8888.614298,10742.207812,7878.266955,7869.123659,8409.160305,14496.626072,6725.818182,0.018359,0.150311,0.006035,-0.002304,-0.033249,0.070274,0.018724
41,Ring,1,0,0,80,100,60,8722.771127,10735.258486,7451.909587,8078.153339,8329.570345,12502.959303,6685.477600,-0.027523,-0.060257,0.058084,0.234339,0.036336,-0.148865,0.018215
42,Little,1,0,0,79,101,60,8260.804020,9648.734770,7562.992126,8781.102362,8845.382586,15620.491803,6545.000000,-0.019296,0.005334,-0.029543,-0.046713,0.117241,-0.026121,-0.030235
43,Thumb,1,0,3,80,100,60,7919.512195,9064.637422,7575.957559,8510.179641,9025.705285,13641.717791,6309.205021,0.486380,0.171116,-0.017441,-0.024224,-0.062235,0.576680,0.120306
44,Thumb,1,0,0,80,100,60,9606.074766,9630.419325,7494.366197,7882.820097,7988.958960,10983.279813,6920.978503,0.203400,0.054042,0.020995,0.000162,0.004741,0.214276,-0.017823
45,Middle,1,0,0,81,100,60,9917.076217,10392.060811,7359.659969,7711.731844,7928.722539,10961.045208,7680.823810,0.010870,0.209247,0.195612,0.213110,0.108282,0.542492,-0.014218
46,Index,1,0,0,80,100,60,9338.334858,10163.594477,8304.936646,7984.300899,8515.278177,13704.422604,7281.244379,0.062396,0.344132,0.032616,-0.024501,-0.026823,0.006307,-0.003343
47,Ring,1,0,0,80,100,60,9697.882678,11933.719039,7680.823810,7887.395450,7905.726590,10983.325863,6901.888202,-0.033888,-0.059052,0.057728,0.340648,0.124636,-0.149412,0.023294
48,Little,1,0,0,81,100,60,9042.359249,10104.364694,7597.630332,8602.586207,8329.570345,15620.491803,6747.959184,-0.032389,-0.048069,0.005942,-0.043104,0.188525,-0.188003,-0.042750
49,Thumb,1,0,0,80,100,60,9047.923811,9515.584416,7430.806773,8364.260655,8241.304348,12070.019099,6837.500000,0.279454,0.168538,-0.029816,-0.037925,-0.045941,0.018236,0.036017
50,Index,1,0,0,80,100,60,10150.393842,10263.448120,7351.351351,7887.395450,7914.914505,11435.480871,7729.496403,0.022675,0.362744,0.098523,0.019800,0.039447,0.287105,-0.019598
