esp32_t_ms,trial_id,phase,phase_elapsed_s,true_label,final_prediction,Thumb_raw_ADC,Index_raw_ADC,Middle_raw_ADC,Ring_raw_ADC,Little_raw_ADC,ReverseHorizontal_raw_ADC,ReverseThumb_raw_ADC,Thumb_R_ohm,Index_R_ohm,Middle_R_ohm,Ring_R_ohm,Little_R_ohm,ReverseHorizontal_R_ohm,ReverseThumb_R_ohm,Thumb_local_dR_over_Ropen,Index_local_dR_over_Ropen,Middle_local_dR_over_Ropen,Ring_local_dR_over_Ropen,Little_local_dR_over_Ropen,ReverseHorizontal_local_dR_over_Ropen,ReverseThumb_local_dR_over_Ropen
848800,1,open_reference,0.0626,IndexPoint,Uncertain,2916,2897,2736,2809,2900,3403,2860,8409.160305,8221.869783,6845.033113,7426.594090,8251.046025,16719.942197,7873.684211,nan,nan,nan,nan,nan,nan,nan
848850,1,open_reference,0.1121,IndexPoint,Uncertain,2913,2897,2729,2800,2892,3397,2869,8379.187817,8221.869783,6792.532943,7351.351351,8173.566085,16546.991404,7956.443719,nan,nan,nan,nan,nan,nan,nan
848900,1,open_reference,0.1539,IndexPoint,Uncertain,2907,2886,2737,2805,2896,3391,2869,8319.696970,8116.129032,6852.577320,7393.023256,8212.176814,16376.988636,7956.443719,nan,nan,nan,nan,nan,nan,nan
848950,1,open_reference,0.2172,IndexPoint,Uncertain,2908,2895,2736,2801,2889,3380,2862,8329.570345,8202.500000,6845.033113,7359.659969,8144.776119,16072.727273,7891.970803,nan,nan,nan,nan,nan,nan,nan
849000,1,open_reference,0.2797,IndexPoint,Uncertain,2910,2891,2726,2796,2880,3395,2868,8349.367089,8163.953488,6770.197224,7318.244804,8059.259259,16490.000000,7947.188264,nan,nan,nan,nan,nan,nan,nan
849050,1,open_reference,0.3006,IndexPoint,Uncertain,2901,2885,2739,2802,2891,3396,2867,8260.804020,8106.611570,6867.699115,7367.981439,8163.953488,16518.454936,7937.947883,nan,nan,nan,nan,nan,nan,nan
849100,1,open_reference,0.3635,IndexPoint,Uncertain,2905,2888,2736,2798,2887,3391,2859,8300.000000,8135.211268,6845.033113,7334.772552,8125.662252,16376.988636,7864.563107,nan,nan,nan,nan,nan,nan,nan
849150,1,open_reference,0.4042,IndexPoint,Uncertain,2907,2888,2726,2792,2880,3402,2864,8319.696970,8135.211268,6770.197224,7285.341520,8059.259259,16690.909091,7910.316816,nan,nan,nan,nan,nan,nan,nan
849200,1,open_reference,0.4456,IndexPoint,Uncertain,2898,2887,2739,2802,2888,3407,2864,8231.578947,8125.662252,6867.699115,7367.981439,8135.211268,16836.918605,7910.316816,nan,nan,nan,nan,nan,nan,nan
849250,1,open_reference,0.5494,IndexPoint,Uncertain,2912,2892,2736,2799,2884,3391,2851,8369.230769,8173.566085,6845.033113,7343.055556,8097.109827,16376.988636,7792.122186,nan,nan,nan,nan,nan,nan,nan
