esp32_t_ms,trial_id,accepted_index,target_label,phase,phase_elapsed_s,sample_elapsed_s,status,Thumb_raw_ADC,Index_raw_ADC,Middle_raw_ADC,Ring_raw_ADC,Little_raw_ADC,ReverseHorizontal_raw_ADC,ReverseThumb_raw_ADC,Thumb_R_ohm,Index_R_ohm,Middle_R_ohm,Ring_R_ohm,Little_R_ohm,ReverseHorizontal_R_ohm,ReverseThumb_R_ohm,Thumb_local_dR_over_Ropen,Index_local_dR_over_Ropen,Middle_local_dR_over_Ropen,Ring_local_dR_over_Ropen,Little_local_dR_over_Ropen,ReverseHorizontal_local_dR_over_Ropen,ReverseThumb_local_dR_over_Ropen
39550,1,1,Open,open_reference,0.0425,1779775297.3177,candidate,3040,3230,2819,2815,2999,3393,2910,9797.156398,12695.953757,7511.442006,7477.343750,9303.467153,16433.333333,8349.367089,nan,nan,nan,nan,nan,nan,nan
39600,1,1,Open,open_reference,0.0642,1779775297.3394,candidate,3097,3301,2877,2820,2993,4094,2968,10550.901804,14135.264484,8031.034483,7520.000000,9234.301270,nan,8954.037267,nan,nan,nan,nan,nan,nan,nan
39650,1,1,Open,open_reference,0.1053,1779775297.3805,candidate,3159,3309,2872,2880,3087,3269,2946,11475.000000,14313.740458,7984.300899,8059.259259,10412.500000,13455.932203,8717.493473,nan,nan,nan,nan,nan,nan,nan
39700,1,1,Open,open_reference,0.1886,1779775297.4638,candidate,3195,3335,2879,2864,3018,3561,2902,12070.000000,14919.736842,8049.835526,7910.316816,9527.576602,22673.033708,8270.578374,nan,nan,nan,nan,nan,nan,nan
39750,1,1,Open,open_reference,0.2092,1779775297.4844,candidate,3197,3356,2828,2844,3015,3328,3208,12104.454343,15440.324763,7588.950276,7729.496403,9491.666667,14752.542373,12296.730552,nan,nan,nan,nan,nan,nan,nan
39800,1,1,Open,open_reference,0.2506,1779775297.5258,candidate,3179,3308,2896,2849,3031,3439,3137,11799.781659,14291.232529,8212.176814,7774.157303,9685.526316,17824.085366,11133.402923,nan,nan,nan,nan,nan,nan,nan
39850,1,1,Open,open_reference,0.3129,1779775297.5881,candidate,3228,3349,2897,2856,2999,3672,3064,12658.823529,15263.538874,8221.869783,7837.288136,9303.467153,29514.893617,10104.364694,nan,nan,nan,nan,nan,nan,nan
39900,1,1,Open,open_reference,0.3541,1779775297.6293,candidate,3189,3372,2895,2840,3004,3497,3032,11967.549669,15857.261411,8202.500000,7694.023904,9361.686526,19882.608696,9697.836312,nan,nan,nan,nan,nan,nan,nan
39950,1,1,Open,open_reference,0.4167,1779775297.6919,candidate,3182,3360,2891,2838,3011,3509,3013,11849.726177,15542.857143,8163.953488,7676.372315,9444.095941,20359.385666,9467.837338,nan,nan,nan,nan,nan,nan,nan
40000,1,1,Open,open_reference,0.4799,1779775297.7551,candidate,3202,3369,2905,2854,3019,3551,3042,12191.265398,15777.685950,8300.000000,7819.178082,9539.591078,22193.750000,9822.222222,nan,nan,nan,nan,nan,nan,nan
40050,1,1,Open,open_reference,0.5214,1779775297.7966,candidate,3227,3339,2884,2834,3017,3368,3019,12640.322581,15016.666667,8097.109827,7641.237113,9515.584416,15751.306740,9539.591078,nan,nan,nan,nan,nan,nan,nan
40100,1,1,Open,open_reference,0.5636,1779775297.8388,candidate,3203,3341,2865,2833,3032,3421,3036,12208.744395,15065.517241,7919.512195,7632.488114,9697.836312,17257.270030,9747.308782,nan,nan,nan,nan,nan,nan,nan
40150,1,1,Open,open_reference,0.6276,1779775297.9028,candidate,3213,3310,2862,2859,3016,3392,3039,12385.714286,14336.305732,7891.970803,7864.563107,9503.614458,16405.120910,9784.659091,nan,nan,nan,nan,nan,nan,nan
40200,1,1,Open,open_reference,0.6709,1779775297.9461,candidate,3229,3248,2888,2863,2985,3189,2989,12677.367206,13038.016529,8135.211268,7901.136364,9143.243243,11967.549669,9188.607595,nan,nan,nan,nan,nan,nan,nan
40250,1,1,Open,open_reference,0.7347,1779775298.0099,candidate,3202,3248,2880,2873,3025,3238,2992,12191.265398,13038.016529,8059.259259,7993.617021,9612.149533,12846.207701,9222.846782,nan,nan,nan,nan,nan,nan,nan
40300,1,1,Open,open_reference,0.7763,1779775298.0515,candidate,3175,3229,2903,2862,3041,3124,2992,11733.695652,12677.367206,8280.369128,7891.970803,9809.677419,10938.825953,9222.846782,nan,nan,nan,nan,nan,nan,nan
40350,1,1,Open,open_reference,0.8392,1779775298.1144,candidate,3152,3234,2909,2845,2997,3191,2943,11364.581124,12770.731707,8339.460371,7738.400000,9280.327869,12001.548673,8685.937500,nan,nan,nan,nan,nan,nan,nan
40400,1,1,Open,open_reference,0.8817,1779775298.1569,candidate,3149,3238,2910,2848,2994,3183,2927,11317.758985,12846.207701,8349.367089,7765.196472,9245.776567,11866.447368,8520.376712,nan,nan,nan,nan,nan,nan,nan
40450,1,1,Open,open_reference,0.9244,1779775298.1996,candidate,3147,3273,2902,2837,2989,3189,2921,11286.708861,13537.956204,8270.578374,7667.567568,9188.607595,11967.549669,8459.454855,nan,nan,nan,nan,nan,nan,nan
40500,1,1,Open,open_reference,0.9884,1779775298.2636,candidate,3105,3278,2904,2820,2989,3163,2899,10663.636364,13641.615667,8290.176322,7520.000000,9188.607595,11538.841202,8241.304348,nan,nan,nan,nan,nan,nan,nan
40550,1,1,Open,open_reference,1.0099,1779775298.2851,candidate,3072,3254,2895,2827,2992,3177,2896,10209.970674,13155.291320,8202.500000,7580.283912,9222.846782,11766.666667,8212.176814,nan,nan,nan,nan,nan,nan,nan
40600,1,1,Open,open_reference,1.0947,1779775298.3699,candidate,3089,3264,2862,2816,2994,3174,2906,10439.960239,13354.512635,7891.970803,7485.848319,9245.776567,11717.263844,8309.840202,nan,nan,nan,nan,nan,nan,nan
40650,1,1,Open,open_reference,1.1157,1779775298.3909,candidate,3103,3247,2862,2803,3006,3129,2898,10635.282258,13018.632075,7891.970803,7376.315789,9385.123967,11013.043478,8231.578947,nan,nan,nan,nan,nan,nan,nan
40700,1,1,Open,open_reference,1.1789,1779775298.4541,candidate,3093,3240,2870,2817,3006,3119,2910,10495.209581,12884.210526,7965.714286,7494.366197,9385.123967,10865.368852,8349.367089,nan,nan,nan,nan,nan,nan,nan
40750,1,1,Open,open_reference,1.2215,1779775298.4967,candidate,3090,3251,2881,2818,2994,3113,2901,10453.731343,13096.445498,8068.698517,7502.897416,9245.776567,10778.207739,8260.804020,nan,nan,nan,nan,nan,nan,nan
40800,1,1,Open,open_reference,1.2849,1779775298.5601,candidate,3102,3264,2875,2809,2988,3136,2895,10621.148036,13354.512635,8012.295082,7426.594090,9177.235772,11118.248175,8202.500000,nan,nan,nan,nan,nan,nan,nan
40850,1,1,Open,open_reference,1.3477,1779775298.6229,candidate,3080,3265,2865,2809,2992,3113,2901,10317.241379,13374.698795,7919.512195,7426.594090,9222.846782,10778.207739,8260.804020,nan,nan,nan,nan,nan,nan,nan
40900,1,1,Open,open_reference,1.3692,1779775298.6444,candidate,3094,3247,2866,2799,2998,3117,2883,10509.090909,13018.632075,7928.722539,7343.055556,9291.886964,10836.196319,8087.623762,nan,nan,nan,nan,nan,nan,nan
40950,1,1,Open,open_reference,1.4330,1779775298.7082,candidate,3096,3237,2873,2793,2991,3108,2915,10536.936937,12827.272727,7993.617021,7293.548387,9211.413043,10706.382979,8399.152542,nan,nan,nan,nan,nan,nan,nan
41000,1,1,Open,open_reference,1.4746,1779775298.7498,candidate,3107,3230,2859,2799,3006,3107,2898,10692.105263,12695.953757,7864.563107,7343.055556,9385.123967,10692.105263,8231.578947,nan,nan,nan,nan,nan,nan,nan
41050,1,1,Open,open_reference,1.5372,1779775298.8124,candidate,3106,3236,2849,2796,3009,3067,2888,10677.856421,12808.381839,7774.157303,7318.244804,9420.441989,10143.774319,8135.211268,nan,nan,nan,nan,nan,nan,nan
41100,1,1,Open,open_reference,1.5581,1779775298.8333,candidate,3116,3244,2849,2794,3009,3080,2885,10821.654750,12960.752056,7774.157303,7301.767871,9420.441989,10317.241379,8106.611570,nan,nan,nan,nan,nan,nan,nan
41150,1,1,Open,open_reference,1.5997,1779775298.8749,candidate,3104,3238,2837,2798,3003,3150,2890,10649.445005,12846.207701,7667.567568,7334.772552,9350.000000,11333.333333,8154.356846,nan,nan,nan,nan,nan,nan,nan
41200,1,1,Open,open_reference,1.6629,1779775298.9381,candidate,3096,3238,2849,2806,2999,3187,2868,10536.936937,12846.207701,7774.157303,7401.396431,9303.467153,11933.700441,7947.188264,nan,nan,nan,nan,nan,nan,nan
