host_elapsed_s,arduino_t_ms,adc,R_ohm,R_kOhm
0.45736026763916016,999.0,432.0,5482.23,5.4822
0.46121907234191895,1001.0,435.0,5548.47,5.5485
0.46155214309692383,1004.0,435.0,5548.47,5.5485
0.46558690071105957,1006.0,437.0,5593.0,5.593
0.4660670757293701,1008.0,435.0,5548.47,5.5485
0.46939802169799805,1010.0,434.0,5526.32,5.5263
0.4695889949798584,1012.0,432.0,5482.23,5.4822
0.4735381603240967,1014.0,433.0,5504.24,5.5042
0.47376585006713867,1016.0,433.0,5504.24,5.5042
0.47766709327697754,1019.0,432.0,5482.23,5.4822
0.4816570281982422,1021.0,432.0,5482.23,5.4822
0.4819819927215576,1024.0,429.0,5416.67,5.4167
0.48575425148010254,1026.0,434.0,5526.32,5.5263
0.48602914810180664,1028.0,432.0,5482.23,5.4822
0.48980093002319336,1030.0,433.0,5504.24,5.5042
0.4900031089782715,1032.0,433.0,5504.24,5.5042
0.4937920570373535,1034.0,434.0,5526.32,5.5263
0.49397993087768555,1037.0,431.0,5460.3,5.4603
0.49805688858032227,1039.0,433.0,5504.24,5.5042
0.49826717376708984,1041.0,434.0,5526.32,5.5263
0.5020751953125,1043.0,433.0,5504.24,5.5042
0.502269983291626,1045.0,435.0,5548.47,5.5485
0.5062689781188965,1047.0,434.0,5526.32,5.5263
0.5064971446990967,1049.0,432.0,5482.23,5.4822
0.5102782249450684,1051.0,435.0,5548.47,5.5485
0.7000031471252441,1054.0,435.0,5548.47,5.5485
0.7001039981842041,1056.0,435.0,5548.47,5.5485
0.7001900672912598,1058.0,432.0,5482.23,5.4822
0.7002758979797363,1060.0,435.0,5548.47,5.5485
0.7003600597381592,1062.0,432.0,5482.23,5.4822
0.7004439830780029,1064.0,433.0,5504.24,5.5042
0.7005288600921631,1067.0,432.0,5482.23,5.4822
0.700613260269165,1069.0,434.0,5526.32,5.5263
0.7006990909576416,1071.0,435.0,5548.47,5.5485
0.7007842063903809,1074.0,433.0,5504.24,5.5042
0.700869083404541,1076.0,431.0,5460.3,5.4603
0.7009551525115967,1078.0,432.0,5482.23,5.4822
0.7010390758514404,1080.0,432.0,5482.23,5.4822
0.7011241912841797,1082.0,431.0,5460.3,5.4603
0.7012102603912354,1084.0,430.0,5438.45,5.4384
0.7012960910797119,1086.0,429.0,5416.67,5.4167
0.7013790607452393,1088.0,434.0,5526.32,5.5263
0.7014641761779785,1091.0,430.0,5438.45,5.4384
0.7015480995178223,1093.0,432.0,5482.23,5.4822
0.701632022857666,1095.0,430.0,5438.45,5.4384
0.7017171382904053,1097.0,432.0,5482.23,5.4822
0.701801061630249,1099.0,429.0,5416.67,5.4167
0.7018849849700928,1101.0,432.0,5482.23,5.4822
0.7019689083099365,1103.0,433.0,5504.24,5.5042
0.7020530700683594,1105.0,432.0,5482.23,5.4822
0.7022268772125244,1108.0,431.0,5460.3,5.4603
0.7023119926452637,1111.0,430.0,5438.45,5.4384
0.7023959159851074,1113.0,432.0,5482.23,5.4822
0.7024800777435303,1115.0,432.0,5482.23,5.4822
0.7025680541992188,1117.0,434.0,5526.32,5.5263
0.7026529312133789,1120.0,433.0,5504.24,5.5042
0.7027380466461182,1140.0,434.0,5526.32,5.5263
0.7028219699859619,1160.0,430.0,5438.45,5.4384
0.7029051780700684,1180.0,432.0,5482.23,5.4822
0.7029891014099121,1200.0,438.0,5615.38,5.6154
0.7030730247497559,1220.0,433.0,5504.24,5.5042
0.7031559944152832,1240.0,435.0,5548.47,5.5485
0.7188050746917725,1260.0,436.0,5570.7,5.5707
0.7353851795196533,1280.0,435.0,5548.47,5.5485
0.7558491230010986,1300.0,434.0,5526.32,5.5263
0.8088850975036621,1320.0,433.0,5504.24,5.5042
0.8089830875396729,1340.0,429.0,5416.67,5.4167
0.817263126373291,1360.0,434.0,5526.32,5.5263
0.8377680778503418,1380.0,434.0,5526.32,5.5263
0.858273983001709,1400.0,436.0,5570.7,5.5707
0.8787331581115723,1420.0,438.0,5615.38,5.6154
1.0248441696166992,1440.0,434.0,5526.32,5.5263
1.0250790119171143,1460.0,439.0,5637.84,5.6378
1.0251672267913818,1480.0,436.0,5570.7,5.5707
1.025252103805542,1500.0,437.0,5593.0,5.593
1.0253372192382812,1520.0,437.0,5593.0,5.593
1.025421142578125,1540.0,438.0,5615.38,5.6154
1.0255060195922852,1560.0,438.0,5615.38,5.6154
1.038330078125,1580.0,437.0,5593.0,5.593
1.0588228702545166,1600.0,445.0,5774.22,5.7742
