target_finger,cycle,open_label,bend_label,used_last_seconds,intended_sensor,intended_local_response,Thumb_local_mean_dR_over_R0,Index_local_mean_dR_over_R0,Middle_local_mean_dR_over_R0,Ring_local_mean_dR_over_R0,Pinky_local_mean_dR_over_R0,ReverseHorizontal_local_mean_dR_over_R0,ReverseThumb_local_mean_dR_over_R0,Thumb_bend_std_dR_over_R0,Index_bend_std_dR_over_R0,Middle_bend_std_dR_over_R0,Ring_bend_std_dR_over_R0,Pinky_bend_std_dR_over_R0,ReverseHorizontal_bend_std_dR_over_R0,ReverseThumb_bend_std_dR_over_R0
Thumb,1,Thumb_C1_Open,Thumb_C1_Bend,1.0,Thumb,0.833750,0.833750,0.184337,0.045924,-0.014989,0.018911,0.172710,0.015166,0.544246,0.064139,0.017983,0.019188,0.010216,0.106004,0.071562
Thumb,2,Thumb_C2_Open,Thumb_C2_Bend,1.0,Thumb,-0.121354,-0.121354,-0.028517,-0.029020,-0.043902,-0.000769,-0.171367,-0.600836,0.276430,0.021689,0.013464,0.015985,0.005175,0.063429,0.147148
Thumb,3,Thumb_C3_Open,Thumb_C3_Bend,1.0,Thumb,0.065414,0.065414,-0.024138,-0.047931,-0.087511,0.008222,-0.093815,-0.395195,0.230989,0.039241,0.009761,0.013218,0.013079,0.052071,0.156930
Thumb,4,Thumb_C4_Open,Thumb_C4_Bend,1.0,Thumb,0.350925,0.350925,0.012602,-0.002998,-0.066791,-0.006714,0.019099,-0.318485,0.592554,0.021127,0.012328,0.015727,0.005740,0.061827,0.143517
Thumb,5,Thumb_C5_Open,Thumb_C5_Bend,1.0,Thumb,0.348954,0.348954,0.000794,0.026122,-0.016882,0.003682,0.089955,-0.321976,1.756170,0.021770,0.020956,0.010669,0.005222,0.102536,0.116833
Index,1,Index_C1_Open,Index_C1_Bend,1.0,Index,0.603807,0.080314,0.603807,0.062203,0.081626,0.000114,0.081417,-0.055894,0.118281,0.352128,0.044199,0.097721,0.004687,0.085709,0.011168
Index,2,Index_C2_Open,Index_C2_Bend,1.0,Index,-0.167199,0.048373,-0.167199,0.026958,0.028193,0.003956,-0.019232,-0.001395,0.086039,0.294740,0.037271,0.124834,0.005539,0.049810,0.014052
Index,3,Index_C3_Open,Index_C3_Bend,1.0,Index,-0.029346,-0.059125,-0.029346,0.008944,-0.044619,0.000301,-0.068786,-0.016703,0.067624,0.244258,0.042309,0.058230,0.006327,0.064461,0.011280
Index,4,Index_C4_Open,Index_C4_Bend,1.0,Index,0.088907,-0.059882,0.088907,-0.021713,0.026829,-0.005854,-0.033687,-0.020281,0.015491,0.276035,0.021961,0.045838,0.005115,0.043118,0.008121
Index,5,Index_C5_Open,Index_C5_Bend,1.0,Index,-0.016629,-0.024720,-0.016629,-0.050689,0.030276,-0.003559,-0.029924,0.009288,0.017689,0.172892,0.014689,0.042594,0.004622,0.038080,0.015538
Middle,1,Middle_C1_Open,Middle_C1_Bend,1.0,Middle,0.097988,0.009407,0.042388,0.097988,0.186750,0.014154,0.098286,0.005842,0.011307,0.047601,0.057356,0.174750,0.016847,0.085911,0.014619
Middle,2,Middle_C2_Open,Middle_C2_Bend,1.0,Middle,-0.124317,-0.000976,0.200975,-0.124317,0.022004,-0.001590,-0.044066,-0.008864,0.008993,0.152787,0.030565,0.047193,0.006112,0.072126,0.007102
Middle,3,Middle_C3_Open,Middle_C3_Bend,1.0,Middle,0.012583,-0.020808,-0.142636,0.012583,-0.036480,0.010904,-0.003733,0.007889,0.007561,0.019330,0.047307,0.057360,0.017505,0.047105,0.005548
Middle,4,Middle_C4_Open,Middle_C4_Bend,1.0,Middle,-0.058995,0.013560,0.011102,-0.058995,-0.053764,-0.011673,-0.047877,-0.019664,0.004367,0.021543,0.099622,0.062378,0.006870,0.038335,0.005317
Middle,5,Middle_C5_Open,Middle_C5_Bend,1.0,Middle,0.042320,-0.012879,-0.061571,0.042320,-0.026948,0.012942,-0.014409,-0.001608,0.012859,0.016110,0.140942,0.057373,0.021009,0.027416,0.007732
Ring,1,Ring_C1_Open,Ring_C1_Bend,1.0,Ring,0.443453,0.008053,-0.013609,0.055193,0.443453,0.073356,0.251731,0.005831,0.012507,0.011200,0.036413,0.275684,0.060439,0.191543,0.022444
Ring,2,Ring_C2_Open,Ring_C2_Bend,1.0,Ring,-0.081223,0.002263,0.038268,-0.016360,-0.081223,-0.001308,0.014845,0.009395,0.005963,0.012201,0.058903,0.139098,0.023652,0.063552,0.008152
Ring,3,Ring_C3_Open,Ring_C3_Bend,1.0,Ring,0.052604,0.003609,0.007254,-0.012973,0.052604,-0.019013,-0.020748,0.005077,0.009674,0.010098,0.032824,0.156435,0.011736,0.044683,0.008875
Ring,4,Ring_C4_Open,Ring_C4_Bend,1.0,Ring,-0.071987,0.016263,-0.013305,-0.005954,-0.071987,-0.002448,0.013962,0.007787,0.007780,0.010293,0.023144,0.174173,0.007670,0.094800,0.009621
Ring,5,Ring_C5_Open,Ring_C5_Bend,1.0,Ring,-0.065085,-0.003494,-0.007204,0.001584,-0.065085,0.013837,0.054697,-0.016634,0.007146,0.017827,0.032860,0.094179,0.017158,0.080582,0.008523
Pinky,1,Pinky_C1_Open,Pinky_C1_Bend,1.0,Pinky,0.421465,0.032001,0.016739,-0.003409,0.145173,0.421465,0.156199,0.025744,0.019989,0.022172,0.013524,0.079139,0.290462,0.110777,0.017884
Pinky,2,Pinky_C2_Open,Pinky_C2_Bend,1.0,Pinky,0.335267,-0.011231,-0.007436,-0.056966,-0.006265,0.335267,-0.058448,-0.021469,0.008309,0.010361,0.012865,0.056900,0.267563,0.065391,0.016149
Pinky,3,Pinky_C3_Open,Pinky_C3_Bend,1.0,Pinky,0.384030,-0.007975,-0.002240,0.002408,-0.175297,0.384030,-0.081505,-0.040164,0.007033,0.008914,0.030646,0.071737,0.256571,0.062252,0.010955
Pinky,4,Pinky_C4_Open,Pinky_C4_Bend,1.0,Pinky,0.258496,0.004795,-0.021924,-0.011720,-0.161523,0.258496,-0.011814,-0.002632,0.006377,0.006439,0.013984,0.033104,0.282691,0.044670,0.009966
Pinky,5,Pinky_C5_Open,Pinky_C5_Bend,1.0,Pinky,0.180540,-0.011918,-0.003659,0.053674,-0.080266,0.180540,0.028283,-0.010752,0.005303,0.007028,0.021078,0.057825,0.271345,0.046774,0.010255
