esp32_t_ms,protocol_elapsed_s,event_index,label,target_finger,phase,cycle,phase_elapsed_s,instruction,Thumb_raw_ADC,Index_raw_ADC,Middle_raw_ADC,Ring_raw_ADC,Pinky_raw_ADC,ReverseHorizontal_raw_ADC,ReverseThumb_raw_ADC,Thumb_R_ohm,Index_R_ohm,Middle_R_ohm,Ring_R_ohm,Pinky_R_ohm,ReverseHorizontal_R_ohm,ReverseThumb_R_ohm,Thumb_dR_over_R0,Index_dR_over_R0,Middle_dR_over_R0,Ring_dR_over_R0,Pinky_dR_over_R0,ReverseHorizontal_dR_over_R0,ReverseThumb_dR_over_R0
767000,0.0275,0,Initial_Baseline,None,baseline,0,0.0275,OPEN HAND - baseline,3039,2754,2717,3052,2844,2898,2903,9784.659091,6982.550336,6703.773585,9948.993289,7729.496403,8231.578947,8280.369128,-0.001276,-0.012699,0.019819,0.077395,0.017356,-0.009419,0.006521
767050,0.0718,0,Initial_Baseline,None,baseline,0,0.0718,OPEN HAND - baseline,3045,2752,2715,3052,2830,2883,2900,9860.000000,6967.088608,6689.130435,9948.993289,7606.324111,8087.623762,8251.046025,0.006414,-0.014885,0.017591,0.077395,0.001144,-0.026742,0.002956
767100,0.1158,0,Initial_Baseline,None,baseline,0,0.1158,OPEN HAND - baseline,3046,2743,2704,3053,2850,2893,2904,9872.640610,6898.076923,6609.345794,9961.804223,7783.132530,8183.194676,8290.176322,0.007705,-0.024643,0.005454,0.078783,0.024416,-0.015241,0.007713
767150,0.3848,0,Initial_Baseline,None,baseline,0,0.3848,OPEN HAND - baseline,3041,2753,2714,3057,2838,2895,2911,9809.677419,6974.813711,6681.824765,10013.294798,7676.372315,8202.500000,8359.290541,0.001278,-0.013793,0.016480,0.084359,0.010364,-0.012918,0.016114
767200,0.3849,0,Initial_Baseline,None,baseline,0,0.3849,OPEN HAND - baseline,3051,2752,2714,3058,2827,2884,2905,9936.206897,6967.088608,6681.824765,10026.229508,7580.283912,8097.109827,8300.000000,0.014193,-0.014885,0.016480,0.085759,-0.002283,-0.025601,0.008907
767250,0.3849,0,Initial_Baseline,None,baseline,0,0.3849,OPEN HAND - baseline,3043,2740,2704,3052,2832,2893,2912,9834.790875,6875.276753,6609.345794,9948.993289,7623.752969,8183.194676,8369.230769,0.003841,-0.027867,0.005454,0.077395,0.003438,-0.015241,0.017322
767300,0.3849,0,Initial_Baseline,None,baseline,0,0.3849,OPEN HAND - baseline,3040,2756,2716,3055,2832,2894,2902,9797.156398,6998.058252,6696.446701,9987.500000,7623.752969,8192.839301,8270.578374,0.000000,-0.010506,0.018704,0.081565,0.003438,-0.014081,0.005331
767350,0.3849,0,Initial_Baseline,None,baseline,0,0.3849,OPEN HAND - baseline,3044,2755,2718,3048,2825,2888,2895,9847.383444,6990.298507,6711.111111,9897.994269,7562.992126,8135.211268,8202.500000,0.005127,-0.011603,0.020935,0.071873,-0.004559,-0.021016,-0.002945
767400,0.5456,0,Initial_Baseline,None,baseline,0,0.5456,OPEN HAND - baseline,3042,2742,2708,3043,2832,2897,2909,9822.222222,6890.465632,6638.211968,9834.790875,7623.752969,8221.869783,8339.460371,0.002558,-0.025719,0.009845,0.065028,0.003438,-0.010587,0.013704
767450,0.5457,0,Initial_Baseline,None,baseline,0,0.5457,OPEN HAND - baseline,3031,2751,2717,3053,2833,2896,2909,9685.526316,6959.375000,6703.773585,9961.804223,7632.488114,8212.176814,8339.460371,-0.011394,-0.015976,0.019819,0.078783,0.004588,-0.011754,0.013704
767500,0.5457,0,Initial_Baseline,None,baseline,0,0.5457,OPEN HAND - baseline,3031,2751,2712,3056,2822,2892,2903,9685.526316,6959.375000,6667.245119,10000.384986,7537.156324,8173.566085,8280.369128,-0.011394,-0.015976,0.014262,0.082961,-0.007960,-0.016400,0.006521
767550,0.6006,0,Initial_Baseline,None,baseline,0,0.6006,OPEN HAND - baseline,3028,2739,2704,3046,2830,2903,2912,9648.734770,6867.699115,6609.345794,9872.640610,7606.324111,8280.369128,8369.230769,-0.015149,-0.028938,0.005454,0.069127,0.001144,-0.003548,0.017322
