esp32_t_ms,run_id,run_elapsed_s,event_index,event_label,posture,phase,phase_elapsed_s,instruction,use_for_summary,any_adc_warn_ge_3600,any_adc_bad_ge_3900,Thumb_raw_ADC,Index_raw_ADC,Middle_raw_ADC,Ring_raw_ADC,Little_raw_ADC,ReverseHorizontal_raw_ADC,ReverseThumb_raw_ADC,Thumb_R_ohm,Index_R_ohm,Middle_R_ohm,Ring_R_ohm,Little_R_ohm,ReverseHorizontal_R_ohm,ReverseThumb_R_ohm,Thumb_dR_over_R0,Index_dR_over_R0,Middle_dR_over_R0,Ring_dR_over_R0,Little_dR_over_R0,ReverseHorizontal_dR_over_R0,ReverseThumb_dR_over_R0
1875000,3,0.0205,0,InitialOpen,Open,initial_open,0.0205,Open hand baseline. Keep relaxed.,0,0,0,3187,3323,3104,2829,2938,2997,2922,12284.691630,15065.414508,10962.663976,7821.090047,8887.640449,9553.278689,8718.670077,0.205669,0.323481,0.082834,-0.126351,0.053811,-0.003730,-0.005964
1875050,3,0.0208,0,InitialOpen,Open,initial_open,0.0208,Open hand baseline. Keep relaxed.,0,0,0,3187,3340,3101,2823,2925,2987,2908,12284.691630,15483.443709,10919.014085,7767.688679,8750.000000,9435.469314,8574.557709,0.205669,0.360204,0.078522,-0.132317,0.037491,-0.016015,-0.022394
1875100,3,0.0208,0,InitialOpen,Open,initial_open,0.0208,Open hand baseline. Keep relaxed.,0,0,0,3185,3262,3093,2821,2930,2997,2923,12250.000000,13705.882353,10803.892216,7750.000000,8802.575107,9553.278689,8729.095563,0.202264,0.204047,0.067151,-0.134293,0.043725,-0.003730,-0.004775
1875150,3,0.0209,0,InitialOpen,Open,initial_open,0.0209,Open hand baseline. Keep relaxed.,0,0,0,3181,3285,3097,2818,2929,2993,2923,12181.072210,14194.444444,10861.222445,7723.570869,8792.024014,9505.898367,8729.095563,0.195499,0.246967,0.072814,-0.137245,0.042474,-0.008671,-0.004775
1875200,3,0.0209,0,InitialOpen,Open,initial_open,0.0209,Open hand baseline. Keep relaxed.,0,0,0,3183,3303,3096,2815,2920,2993,2909,12215.460526,14596.590909,10846.846847,7697.265625,8697.872340,9505.898367,8584.738617,0.198874,0.282295,0.071394,-0.140183,0.031311,-0.008671,-0.021233
1875250,3,0.0209,0,InitialOpen,Open,initial_open,0.0209,Open hand baseline. Keep relaxed.,0,0,0,3179,3322,3092,2808,2930,2988,2926,12146.834061,15041.397154,10789.631107,7636.363636,8802.575107,9447.154472,8760.479042,0.192139,0.321371,0.065743,-0.146986,0.043725,-0.014797,-0.001197
1875300,3,0.0210,0,InitialOpen,Open,initial_open,0.0210,Open hand baseline. Keep relaxed.,0,0,0,3178,3280,3104,2818,2927,2992,2927,12129.770992,14085.889571,10962.663976,7723.570869,8770.976027,9494.106981,8770.976027,0.190464,0.237430,0.082834,-0.137245,0.039978,-0.009900,0.000000
1875350,3,0.0210,0,InitialOpen,Open,initial_open,0.0210,Open hand baseline. Keep relaxed.,0,0,0,3183,3303,3108,2815,2911,2995,2928,12215.460526,14596.590909,11021.276596,7697.265625,8605.152027,9529.545455,8781.491003,0.198874,0.282295,0.088623,-0.140183,0.020317,-0.006205,0.001199
1875400,3,0.0210,0,InitialOpen,Open,initial_open,0.0210,Open hand baseline. Keep relaxed.,0,0,0,3189,3249,3101,2811,2925,2997,2936,12319.536424,13441.489362,10919.014085,7662.383178,8750.000000,9553.278689,8866.264021,0.209088,0.180820,0.078522,-0.144080,0.037491,-0.003730,0.010864
1875450,3,0.0211,0,InitialOpen,Open,initial_open,0.0211,Open hand baseline. Keep relaxed.,0,0,0,3189,3297,3111,2826,2929,2986,2928,12319.536424,14460.526316,11065.548780,7794.326241,8792.024014,9423.805230,8781.491003,0.209088,0.270342,0.092996,-0.129341,0.042474,-0.017232,0.001199
1875500,3,0.0211,0,InitialOpen,Open,initial_open,0.0211,Open hand baseline. Keep relaxed.,0,0,0,3199,3273,3108,2827,2926,2976,2925,12496.093750,13936.131387,11021.276596,7803.233438,8760.479042,9308.310992,8750.000000,0.226416,0.224274,0.088623,-0.128346,0.038734,-0.029276,-0.002392
1875550,3,0.0211,0,InitialOpen,Open,initial_open,0.0211,Open hand baseline. Keep relaxed.,0,0,0,3188,3242,3094,2815,2931,2993,2934,12302.094818,13302.461899,10818.181818,7697.265625,8813.144330,9505.898367,8844.961240,0.207377,0.168607,0.068563,-0.140183,0.044978,-0.008671,0.008435
1875600,3,0.0212,0,InitialOpen,Open,initial_open,0.0212,Open hand baseline. Keep relaxed.,0,0,0,3188,3247,3102,2812,2929,2993,2939,12302.094818,13401.533019,10933.534743,7671.083398,8792.024014,9505.898367,8898.356401,0.207377,0.177310,0.079957,-0.143108,0.042474,-0.008671,0.014523
